Table ID,Types
1-10321805-1,text; text; text; text; text
1-10335-1,text; text; text; text; dense_vector; text
1-10360656-1,real; real; real; text; text; text
1-10360823-1,real; real; real; text; text; text
1-10361230-1,real; real; real; text; text; text
1-10361453-2,real; text; text; text; real; real; text; real
1-10361625-1,real; real; real; text; text; text
1-1036189-1,text; text; text; text; text
1-1037590-1,real; real; real; real; real; text; real; text; real; real; text
1-10392906-2,real; text; text; text; text; dense_vector; text; real
1-10399701-2,text; text; text; text; text; text
1-10402018-1,text; text; text; text; text; text; text; text
1-10413597-4,real; real; text; text; text; text; text
1-10413597-5,real; real; text; text; text; text; text; text
1-10416547-1,text; text; text; text; text; text; text; text; text
1-10420426-1,text; text; dense_vector; real; real; real; real; real; real; text
1-1046071-1,real; real; text; text; text; text
1-1046454-1,real; real; text; text; text; text
1-10470082-3,real; real; text; text; text; text; text; text
1-10470082-4,real; real; text; text; text; text; text; text
1-10470082-5,real; real; text; text; text; text; text; text
1-10470082-6,real; real; text; text; text; text; text; text
1-10470082-7,real; real; text; text; text; text; text; text
1-10470082-8,real; real; text; text; text; text; text; text
1-10477224-1,text; text; text; text; text
1-104858-1,dense_vector; real; text; text; text; text
1-10527215-3,real; text; text; text; text; dense_vector; text
1-10528691-4,real; text; text; text; text; text; text; text
1-1053802-1,dense_vector; text; text; text; text
1-10556257-1,text; dense_vector; real; real; real; real
1-10566855-1,real; text; text; text; real; text; real
1-10568553-1,text; dense_vector; text; text; text; text
1-1057262-1,text; real; real; real; real; real; real
1-1057316-1,text; text; text; text; text
1-10577579-2,text; dense_vector; text; text; real; text; real; text
1-10577579-3,text; dense_vector; text; text; real; text; real; text; text; text; text
1-10581768-2,text; text; dense_vector; real; text; real
1-10592536-8,dense_vector; text; text; text; text; text; text
1-10595672-1,text; text; text; text; text; text; text; dense_vector; text
1-10602294-1,text; text; text; text; text; text; text; text; text
1-10610087-3,real; real; text; text; text; text
1-10610087-6,real; real; text; text; text; text
1-10621256-1,text; real; real; real; real; real; text; real; real; real; real
1-106367-2,real; real; real; text; text
1-10646790-2,real; text; text; text; text; text; real
1-10647401-1,real; text; text; text; text; real
1-10647639-1,real; text; text; text; text; text; real
1-10650711-1,real; dense_vector; text; text; text
1-10664957-2,text; text; text; text; text
1-1067134-1,text; real; text; text; text
1-1067441-1,text; real; real; text; real; real
1-10701133-1,real; real; text; text; text; text; text; text
1-10705060-1,text; text; dense_vector; real; real; real; real; text
1-10707142-2,text; text; text; dense_vector; text; text; text; text; text
1-10710364-2,text; text; text; real; text; text; real; real; real
1-10715317-2,real; real; text; text; text; text; text
1-10716893-3,real; text; text; text; text; text; text
1-10718192-2,real; real; text; text; text; text; text
1-10718525-2,real; real; text; text; text; text; text
1-10718631-2,real; real; text; text; text; text; text
1-10718984-2,real; real; text; text; text; text; text
1-10722506-6,text; real; text; text; real; real; real; real; real
1-10725629-2,text; text; text; dense_vector; text; text; text; text; text; text
1-10748727-1,text; text; dense_vector; real; real; real; real; real; text; text
1-10749143-2,real; real; text; text; text; text; text; text
1-10749367-3,real; text; text; text; text; text
1-10797463-1,text; text; real; text; text
1-10798928-1,text; text; text; text; text
1-10812293-4,real; text; dense_vector; text; text; text; text; text; text
1-10812938-3,real; dense_vector; text; text; text
1-10812938-4,real; dense_vector; text; text; text
1-10812938-5,real; dense_vector; text; text; text
1-1081459-1,text; text; real; real; text; real
1-10815352-1,text; text; dense_vector; text; real; real; real
1-10818465-1,text; real; text; text; text; text; text
1-10819266-8,real; real; text; text; text; text; text; text
1-10842344-1,real; real; text; text; text; text; text; text
1-10874596-1,text; text; text; text; text
1-1087659-2,text; text; text; text; text; real
1-10908676-7,real; real; text; text; text; text
1-10932739-2,text; text; text; text; text; text
1-10935548-1,real; real; text; text; text; text; text; text
1-10942714-1,real; text; text; real; real; real; real; text
1-10953197-2,real; real; text; text; text; text; text
1-10953197-3,real; real; text; text; text; text; text
1-10953197-4,real; real; text; text; text; text; text
1-10953197-6,real; real; text; text; text; text; text
1-10953197-7,real; real; text; text; text; text; text
1-10960039-1,real; dense_vector; text; text; text
1-10960039-6,real; dense_vector; text; text; text
1-10966926-2,real; real; text; text; text; real; text
1-10975034-4,real; dense_vector; text; text; text
1-10975034-5,real; dense_vector; text; text; text
1-10979230-5,text; text; text; text; real
1-1099080-1,text; text; text; text; text
1-11019212-1,dense_vector; text; text; text; text; text; text; text
1-1104312-5,text; text; text; real; real
1-11056278-3,real; text; text; text; text; dense_vector; text
1-11058032-1,real; real; text; text; text; text; text
1-11066073-1,real; text; text; real; text
1-11071897-1,text; text; text; text; text
1-11075747-4,real; real; text; text; text; text
1-1108394-24,text; text; text; text; text; text; real; text
1-1108394-43,text; text; text; text; text; text; text; real; text
1-11094950-1,dense_vector; text; real; text; text; text
1-11111116-6,real; real; text; text; text; text; text
1-11111116-7,real; real; text; text; text; text; text
1-11111116-8,real; real; text; text; text; text; text
1-1112176-1,text; text; real; real; text; real; real; real; real; real; text; real
1-11129123-1,text; dense_vector; text; text; text; text; real
1-11147852-1,dense_vector; text; text; text; text
1-11148572-1,real; text; text; text; text
1-11167610-1,text; text; text; text; text; text; text; text
1-11173827-1,real; text; text; real; real; real; real; text
1-11178271-1,real; text; text; text; real; text; text; real
1-11190568-7,dense_vector; text; text; text; text; text; text
1-11200856-1,text; real; real; real; real; text
1-11206787-5,dense_vector; text; real; real; real; real
1-11206916-2,dense_vector; text; text; text; text; text
1-11207040-5,dense_vector; text; real; real; real; real
1-11207040-6,dense_vector; text; text; text; text; text
1-11210576-3,text; text; text; text; text; text; real
1-11214212-1,real; real; real; real; real; real
1-11214772-1,text; text; text; text; dense_vector; text; text
1-11220799-2,text; text; text; text; text; text; text; text
1-11222744-2,real; text; text; text; text; text; text
1-11230937-2,real; real; text; text; text; text; text
1-11235334-2,real; text; text; text; text; text
1-1123802-1,text; text; text; text; text; text; text; text
1-11240028-1,text; text; text; text; text; text
1-11240028-3,text; text; text; text; text
1-11244302-1,real; text; text; text; text; real; text; text; text
1-11250-4,text; text; text; real; real; text; real; text
1-11251109-3,real; text; text; text; text; text; real; text; text; text
1-11251601-2,dense_vector; real; text; real; text
1-11253290-2,real; text; text; real; text; text; real; real; text
1-11254821-2,text; real; real; real; real
1-11256021-1,text; text; text; text; text; text; text; text; text
1-11274401-2,real; text; text; text; text; real; text; text; text
1-11274401-3,real; text; text; text; text; text; text; text; text
1-11303072-5,text; text; text; dense_vector; text; text; text
1-11303072-9,real; real; text; dense_vector; real; real; text
1-1130632-1,real; text; text; text; text; text; text
1-1131183-2,real; real; text; real; real
1-11318462-29,text; dense_vector; real; real; text; text; text; text; real
1-11318462-5,real; text; text; text; text; text; text; text; text; text; text; text; text
1-1132568-3,real; text; text; text; text; text; text
1-1132588-3,real; text; text; text; text; text; text
1-11326124-3,real; text; text; text; text; text; text; text; text
1-11354111-3,real; text; text; text; real; text; text; real; text; real
1-1137142-1,text; text; text; text; text
1-1137695-3,real; text; text; text; text; text; text
1-1137704-2,real; text; text; dense_vector; text; text; text; text; text
1-1137707-2,real; text; text; dense_vector; text; text; text; text; text
1-1137718-2,real; text; text; dense_vector; text; text; text; text; text
1-11381701-3,text; text; text; text; text; text; text; text; text; text
1-11390711-4,text; text; text; text; text; real
1-1139087-2,real; text; text; dense_vector; text; text; text; text; text
1-11391954-3,dense_vector; real; real; real; real; real
1-1139835-1,real; text; text; text; text; real; real; text
1-1139835-3,real; text; text; text; text; real; real; text
1-1139835-9,real; text; text; text; text; real; text
1-1140067-2,real; text; text; dense_vector; text; text; text; text; text
1-1140073-2,real; text; text; dense_vector; text; text; text; text; text
1-1140074-2,real; text; text; dense_vector; text; text; text; text; text
1-1140076-2,real; text; text; dense_vector; text; text; text; text; text
1-1140077-2,real; text; text; dense_vector; text; text; text; text; text
1-1140080-2,real; text; text; dense_vector; text; text; text; text; text
1-1140083-2,real; text; text; dense_vector; text; text; text; text; text
1-1140085-2,real; text; text; dense_vector; text; text; text; text; text
1-1140088-6,text; text; text; text; text; text
1-1140090-6,text; text; text; text; text; text
1-1140103-6,real; text; text; text; text; text; text
1-1140105-6,text; text; text; text; text; text
1-1140111-5,text; text; text; text; text; text
1-1140113-5,text; text; text; text; text; text
1-1140116-5,text; text; text; text; text; text
1-1140117-5,text; text; text; text; text; text
1-11404452-1,real; text; text; text; text; text
1-11411026-2,real; real; text; text; text; text; text
1-1143966-1,text; real; real; real; real; real; text; real; real; text
1-11447995-2,text; text; text; text; text; text; text; text; text; text; text
1-11449590-2,text; text; text; text; text; text; text; text; text
1-11452830-2,text; text; text; text; text; text; text; text; text
1-11464746-1,text; text; text; real; text
1-11465521-2,text; text; text; text; text; text; text; text; text
1-1147701-4,text; real; text; real; text; text
1-1147701-5,text; real; text; real; text; text
1-1147705-1,text; text; text; text; text; text
1-1149495-1,real; text; text; text; text; text; text; text; text
1-11545282-11,text; text; dense_vector; text; text; text
1-11545282-12,text; real; dense_vector; text; text; text
1-11545282-17,text; real; dense_vector; text; text; text
1-11545282-18,text; real; dense_vector; text; text; text
1-11545282-19,text; real; dense_vector; text; text; text
1-11545282-4,text; real; dense_vector; text; text; text
1-11545282-5,text; text; dense_vector; text; text; text
1-11545282-6,text; real; dense_vector; text; text; text
1-11545282-7,text; real; dense_vector; text; text; text
1-11552751-2,text; dense_vector; text; text; text; text
1-11562143-1,real; real; text; text; text; text; text; text
1-11562149-1,text; text; text; text; text; text; text; text
1-11570261-2,real; text; text; text; text; text
1-11577996-1,real; dense_vector; text; text; text; text; text
1-1157867-2,text; text; text; text; text; text; text; text; text
1-11585313-1,real; text; text; text; real; real; text
1-11585313-2,real; text; text; text; real; real; text
1-11602313-4,text; text; text; text; text; text; text; text; text; text; text; text
1-11603006-1,text; text; dense_vector; real; text; text; real
1-11603267-1,text; text; dense_vector; real; text; text; real
1-11604804-5,text; text; text; real; text; dense_vector
1-11608735-3,real; text; text; text; text; text
1-1161065-27,dense_vector; real; real; real; real; real; real; text
1-1161065-28,text; real; real; real; real; real; text; text
1-11614581-3,text; text; text; text; real; real
1-11621799-1,text; text; dense_vector; real; text; text; real
1-11621873-1,text; text; dense_vector; real; text; text; real
1-11621915-1,text; text; dense_vector; real; text; text; real
1-11622255-1,text; text; dense_vector; real; text; text; real
1-11622496-1,text; text; dense_vector; real; text; text; text
1-11622562-1,text; text; dense_vector; real; text; text; real
1-11622771-1,text; text; dense_vector; real; text; text; real
1-11622829-1,text; text; dense_vector; real; text; text; real
1-11622840-1,text; text; dense_vector; real; text; text; real
1-11622862-1,text; text; dense_vector; real; text; text; real
1-11622924-1,text; text; dense_vector; real; text; text; real
1-11630008-3,real; text; text; text; text; real
1-11630008-5,real; real; text; text; text; text; real
1-11630008-7,real; real; text; text; text; text; real
1-11636213-7,text; text; text; text; text; text; text; text; text
1-11642945-1,real; text; text; text; text
1-11647327-2,text; text; text; text; text
1-11649123-1,text; text; text; text; text; text
1-1165048-1,real; real; text; text; text; text; text
1-11656578-2,text; text; text; text; text; real; real
1-11658094-1,text; dense_vector; real; text; real; text; text
1-11658094-3,text; dense_vector; real; text; real; text; real; real; text
1-1166023-1,text; text; text; real; text
1-11662133-1,text; text; text; real; text
1-11662133-3,text; text; text; real; text
1-11664625-2,real; real; text; text; text; text; text
1-11665016-2,real; real; text; text; text; text; text
1-1167698-1,text; text; text; text; text
1-11677100-15,text; text; text; text; text
1-11677100-16,text; text; text; text; text
1-11677100-17,text; text; text; text; text
1-11677100-18,text; text; text; text; text
1-11677100-3,text; text; text; text; text
1-11677100-4,text; text; text; text; text
1-11677100-5,text; text; text; text; text
1-11677100-7,text; text; text; text; text
1-11677100-8,text; text; text; text; text
1-11677691-10,text; text; text; text; text
1-11677691-11,text; text; text; text; text
1-11677691-12,text; text; text; text; text
1-11677691-2,text; text; text; text; text
1-11677691-3,text; text; text; text; text
1-11677691-5,text; text; text; text; text
1-11677691-6,text; text; text; text; text
1-11677691-9,text; text; text; text; text
1-11677760-1,text; text; text; text; text; text
1-11677760-31,text; text; text; text; text; text
1-11680175-1,real; text; text; text; real; text; text; real
1-11691212-2,real; text; text; text; text; text; text; text
1-11694832-1,real; real; text; text; text; text; text; text
1-11703336-1,text; text; text; text; text; text; text; text; text
1-11713303-2,dense_vector; text; text; text; text; text
1-11715748-2,real; real; text; text; text; text
1-11734041-10,text; text; text; text; text; dense_vector
1-11734041-11,text; text; text; text; text; dense_vector
1-11734041-17,text; real; text; text; text; dense_vector
1-11734041-18,text; text; text; text; text; dense_vector
1-11734041-20,text; text; text; text; text; dense_vector
1-11734041-3,text; text; text; text; text; dense_vector
1-11734041-6,text; text; text; text; text; dense_vector
1-11734041-7,text; real; text; text; text; dense_vector
1-1174162-1,text; real; text; text; text; real; real; text
1-11748792-2,text; text; text; text; text; text; text; text
1-11753080-2,real; text; text; text; text; real; text; text; text
1-1176162-3,text; text; real; text; text; text; real; text
1-1176371-1,text; dense_vector; text; real; real; real; real
1-11780179-1,dense_vector; real; real; text; text
1-11793221-2,text; text; text; text; text; text
1-11793221-4,text; text; text; text; text; text
1-1180228-1,text; text; text; text; text; real; real
1-11803648-17,real; real; text; text; dense_vector; text
1-11803648-20,real; text; text; text; dense_vector; text
1-11803648-21,real; text; text; text; dense_vector; text
1-11803648-22,real; text; text; text; dense_vector; text
1-11820086-1,real; real; text; text; text; text; text; text
1-1182314-5,text; real; text; real; text; real; text; real; text
1-1183842-1,text; dense_vector; real; text; real; text; real
1-11839306-2,real; real; text; text; text; text; text
1-11875915-2,real; text; dense_vector; text; text; text; text
1-11900378-1,text; text; dense_vector; text; text; text; text
1-11900773-5,text; text; text; text; text; text; text; text
1-11907963-6,real; text; dense_vector; text; text; text; text; text; text
1-11908801-1,text; text; text; text; text
1-11916083-1,real; text; text; text; text; text; text
1-11934032-1,text; text; dense_vector; text; text; text
1-11950720-3,text; text; text; text; text; dense_vector
1-11950720-4,text; text; text; text; text; dense_vector
1-11950720-8,text; text; text; text; text; dense_vector
1-11951237-2,real; real; text; text; text; text; text; text
1-11951237-3,real; real; text; text; text; text; text; text
1-11951237-4,real; real; text; text; text; text; text
1-11959669-3,real; text; dense_vector; text; text; text; text; text; text
1-11959669-6,real; text; dense_vector; text; text; text; text; text; text
1-11959669-7,real; text; dense_vector; text; text; text; text; text; text
1-11960196-3,real; text; dense_vector; text; text; text; text; text; text
1-11960407-2,real; text; dense_vector; text; text; text; text; text; text
1-11960407-4,real; text; dense_vector; text; text; text; text; text; text
1-11960610-10,real; text; dense_vector; text; text; text; text; text; text
1-11960610-6,real; text; dense_vector; text; text; text; text; text; text
1-11960944-11,real; text; dense_vector; text; text; text; text; text; text
1-11960944-4,real; text; dense_vector; text; text; text; text; text; text
1-11960944-6,real; text; dense_vector; text; text; text; text; text; text
1-11960944-7,real; text; dense_vector; text; text; text; text; text; text
1-11961582-10,real; text; dense_vector; text; text; text; text; text; text
1-11961582-4,real; text; dense_vector; text; text; text; text; text; text
1-11961582-7,real; text; dense_vector; text; text; text; text; text; text
1-11963536-11,real; text; dense_vector; text; text; text; text; text; text
1-11963601-11,real; text; dense_vector; text; text; text; text; text; text
1-11964047-10,real; text; text; text; text; text; text; text; text
1-11964047-6,real; text; text; text; text; text; text; text; text
1-11964047-8,real; text; text; text; text; text; text; text; text
1-11964047-9,real; text; text; text; text; text; text; text; text
1-11964154-11,real; text; dense_vector; text; text; text; text; text; text
1-11964154-7,real; text; dense_vector; text; text; text; text; text; text
1-11964154-9,real; text; dense_vector; text; text; text; text; text; text
1-11964263-13,real; text; dense_vector; text; text; text; text; text; text
1-11970261-2,dense_vector; text; text; text; text; text
1-1199219-2,text; text; text; text; text
1-12000368-1,text; text; text; real; text; text
1-12001616-4,real; real; real; text; text; text; text; real; text
1-12002388-1,real; text; text; text; text; text
1-12027364-1,real; text; text; text; text; text
1-12028543-3,text; text; text; text; text; dense_vector; real
1-12030612-9,real; real; text; text; text; text
1-12033013-1,real; text; text; text; text; text
1-12033013-3,text; text; text; text; text; text; text
1-1204998-2,text; text; text; text; text; real; real; real
1-1205598-1,text; real; real; dense_vector; text; text; text
1-1206114-2,text; text; text; text; text
1-120778-1,text; real; text; real; text
1-12086015-7,text; dense_vector; real; text; text
1-12095519-1,text; text; text; text; text
1-12113818-1,text; text; text; text; text; text
1-12113888-1,real; text; text; text; text; text
1-12121208-1,real; text; text; text; text; text
1-1212189-1,text; text; text; text; text
1-12125069-2,text; dense_vector; text; text; text; real; text
1-12134383-1,real; text; text; text; text; text; text; text; text
1-1213511-2,real; text; text; dense_vector; text; text
1-1213511-3,real; text; text; dense_vector; text; text
1-1213511-4,real; text; text; dense_vector; text; text
1-1213511-5,real; text; text; dense_vector; text; text
1-1213511-6,real; text; text; dense_vector; text; text
1-1213511-7,real; text; text; dense_vector; text; text
1-1214035-1,real; text; text; text; text; text
1-12148018-2,real; text; text; text; text; text
1-12148147-2,text; text; text; text; text
1-12159115-2,real; text; text; text; text; text; text
1-12159115-3,real; real; text; text; text; text; text; text
1-1216097-7,text; text; text; text; text; text
1-12161822-5,real; text; text; text; text; text; text
1-10015132-16,text; text; dense_vector; text; text; text
1-10083598-1,real; text; text; text; text; text; text; text
1-1013129-2,real; text; text; dense_vector; text; text
1-1013129-3,real; text; text; dense_vector; text; text
1-1014206-2,text; text; text; text; text; text; text
1-1015521-2,text; text; text; text; text
1-1024710-2,text; text; text; text; text
1-10294071-1,text; text; text; text; real; real; real
1-10333757-1,text; text; text; text; text; text; text
1-10408617-5,text; text; text; text; text
1-10409754-5,text; text; text; text; text; text
1-10432351-1,text; text; text; real; real; real
1-105344-2,real; real; real; real; real; text; real; text
1-10548224-1,real; text; text; text; text; dense_vector; text; text
1-1057262-2,text; real; real; real; real; real; real; real
1-10586064-2,text; real; real; text; real; text; text
1-1058787-1,text; text; text; text; text; text
1-1059743-2,real; text; text; real; real; real
1-10601843-2,text; real; dense_vector; text; text; real
1-10610087-5,real; real; text; text; text; text
1-10638523-1,text; text; text; text; text
1-10644188-3,real; real; text; text; text; text; text
1-10682862-68,dense_vector; real; real; real; real; real
1-10710364-1,text; text; text; text; text; text
1-10753917-1,real; text; dense_vector; text; real; real; real; text; text
1-10797636-1,text; text; real; text; text
1-10812293-6,real; text; dense_vector; text; text; text; text; text; text
1-1081235-1,text; dense_vector; text; text; text
1-10812403-4,real; dense_vector; text; text; text
1-10848177-1,real; text; text; text; text; text
1-10875694-11,text; text; text; text; text; text
1-1090916-2,text; text; text; dense_vector; text
1-1096793-1,text; text; text; real; real; real; text
1-11075747-3,real; real; text; text; text; text
1-1108394-34,text; text; text; text; text; text; text; real; text
1-1108394-47,text; text; text; text; text; text; text; real; text
1-1108394-6,text; text; text; text; text; text; real; text
1-11157122-5,text; real; real; real; real; real
1-1115992-1,text; real; real; real; real; real
1-11174272-1,real; text; text; real; real; real; real; text
1-11206916-1,dense_vector; text; real; real; real; real
1-11208143-9,dense_vector; text; real; real; real; real
1-11222744-3,real; text; text; text; text; text; text
1-11233358-2,text; text; text; text; real; real; real
1-11238597-4,real; text; text; text; text; text; text; text; text
1-11323532-2,dense_vector; text; text; text; text; text; text; text
1-1133844-4,text; text; text; text; text; text
1-11347578-1,dense_vector; text; text; text; text; text; text
1-11365528-2,dense_vector; text; text; text; text; real; text
1-1137694-3,real; text; text; text; text; text; text
1-1137696-3,real; text; text; text; text; text; text
1-1137702-3,real; text; text; text; text; text; text
1-1137703-2,real; text; text; dense_vector; text; text; text; text; text
1-11391448-2,real; text; text; text; text; text; text; real; text
1-1140078-2,real; text; text; dense_vector; text; text; text; text; text
1-1140082-2,real; text; text; dense_vector; text; text; text; text; text
1-1140099-6,text; text; text; text; text; text
1-1140114-5,text; text; text; text; text; text
1-1140116-6,text; text; text; text; text; text
1-1140119-5,text; text; text; text; text; text
1-11406866-2,text; text; text; text; text; text; text; text; text
1-11456251-5,text; real; text; text; text; text; text
1-1145977-2,real; text; text; text; text; text
1-11497980-1,text; text; text; text; text; text; text
1-11545282-10,text; text; dense_vector; text; text; text
1-11581984-2,text; real; dense_vector; text; text; text; text; real
1-11602885-1,text; text; dense_vector; real; text; text; real
1-1160660-1,text; text; real; text; text
1-11621747-1,text; text; dense_vector; real; text; text; real
1-11622392-1,text; text; dense_vector; real; text; text; real
1-11622896-1,text; text; dense_vector; real; text; text; real
1-11630008-4,real; real; text; text; text; text; real
1-11630008-6,real; real; text; text; text; text; real
1-11654169-1,text; dense_vector; text; text; text
1-1166259-1,text; real; real; real; real; real; real; real; text
1-11667521-17,text; text; text; text; text; dense_vector
1-11674683-2,text; text; text; text; text
1-11677100-11,text; text; text; text; text
1-11677100-12,text; text; text; text; text
1-11677691-1,text; text; text; text; text
1-11677691-4,text; text; text; text; text
1-11677691-7,text; text; text; text; text
1-11677691-8,text; text; text; text; text
1-11690135-1,dense_vector; text; text; text; text
1-11695215-1,real; real; text; text; text; text; text; text
1-11734041-1,text; text; text; text; text; dense_vector
1-11734041-16,text; text; text; text; text; dense_vector
1-1175233-1,text; text; text; text; real; real; real; real
1-1181375-1,text; text; text; text; text; text; text; text
1-11827596-2,real; text; text; text; text; text; text
1-11827596-4,real; text; text; text; text; text; text
1-1184344-1,real; text; text; text; text; real; text
1-11869952-1,text; text; text; text; text; text; text
1-11869952-3,text; text; text; text; text; text
1-11900773-4,text; text; text; text; text; text; text; text
1-11900773-6,text; text; text; text; text; text; text; text
1-11926114-1,real; text; text; real; real; real; real; text
1-1193568-1,text; text; text; text; text
1-11944282-1,text; text; text; text; text
1-11948857-1,real; text; text; text; real; text
1-11951237-1,real; text; text; text; text; text; real
1-11959669-4,real; text; dense_vector; text; text; text; text; text; text
1-11960610-7,real; text; dense_vector; text; text; text; text; text; text
1-11964154-2,real; text; dense_vector; text; text; text; text; text; text
1-1198175-1,text; text; text; real; text; text; text; dense_vector
1-12032893-1,text; real; text; text; real; text; text; text
1-1206583-2,text; text; text; text; text; text; text
1-120778-2,text; real; text; real; text
1-12078626-1,text; text; text; text; text
1-12094300-1,text; text; text; text; text; text
1-12146068-2,real; text; dense_vector; text; text; text; text
1-12146637-1,real; real; text; text; text; text; text
1-12165135-1,real; dense_vector; text; text; text
1-1217448-1,text; text; text; text; text
1-12175755-1,text; text; text; text; text; text
1-12186309-1,real; text; text; text; text; text
1-12194021-1,real; text; text; text; text; text
1-1220125-4,text; text; text; text; text; text; text
1-12243817-1,text; text; dense_vector; text; text; real; real
1-12261926-2,real; text; text; text; text; text; dense_vector
1-12262008-2,real; text; text; text; text; text; text
1-12271718-1,text; text; text; dense_vector; text
1-12272590-2,text; real; real; text; real; text; real
1-12286195-1,text; text; dense_vector; real; text; text; text; text
1-12294557-3,real; real; text; text; text; real
1-1231316-4,real; text; text; text; dense_vector; text; text
1-1231316-6,real; text; text; text; dense_vector; text; text
1-1233026-4,text; text; text; text; text; text; text
1-12419515-5,real; real; text; text; text; text; text
1-12434380-1,text; dense_vector; real; text; text
1-12451376-1,real; text; text; text; text; real
1-12451376-2,real; real; text; text; text; text; real
1-1251878-1,text; real; real; text; text; real; text
1-12547903-2,text; text; text; text; text; dense_vector
1-12547903-3,text; text; text; text; dense_vector
1-12564633-1,real; real; text; text; text; text
1-12576536-1,real; real; real; real; real; real
1-1266602-2,dense_vector; text; real; text; text; text; text; real
1-12720275-1,text; text; text; text; text; text
1-1272033-1,text; text; text; text; dense_vector
1-12744399-1,text; text; text; text; text; text; text
1-12784134-1,text; text; text; text; text; text; text
1-12828723-3,text; text; text; text; text; text; text; text; text; text; text; text
1-12828723-4,text; text; text; text; text; text; text; text; text; text; text; text
1-12828723-5,text; text; text; text; text; text; text; text; text; text; text; text
1-12887260-1,text; text; text; text; real; real
1-12936521-2,text; dense_vector; text; text; text
1-12962773-10,real; text; text; text; real; text
1-12962773-12,real; text; text; text; real; text
1-12962773-16,real; text; text; text; real; text
1-12962773-2,real; text; text; text; real; text
1-1300080-1,text; text; text; text; text; text
1-13003460-1,text; text; text; text; text
1-1300525-1,text; text; text; text; real; real; real
1-13050822-2,text; text; text; text; text; text; text; text; text
1-1305623-6,text; real; real; real; real
1-1310499-1,text; text; real; text; text; text; text; text; text; text; real; real
1-13150274-1,text; text; text; dense_vector; text
1-13196576-2,real; text; text; real; real; real; dense_vector
1-1320857-1,text; text; text; text; text
1-13241993-3,real; text; text; text; text; text; text; text
1-13258823-2,real; text; text; text; text; text; real
1-13273629-2,real; real; text; text; text; text; text
1-1331313-1,text; text; text; dense_vector; text
1-13336122-7,real; real; text; text; text; text; text
1-13388681-1,real; text; text; dense_vector; text; text; text; real; real
1-1340667-3,real; text; text; text; text; text
1-1341395-33,text; dense_vector; text; real; text; text
1-1341395-44,text; dense_vector; text; real; text; text
1-1341423-23,text; dense_vector; text; real; text; text
1-1341453-37,text; dense_vector; text; real; text; text
1-1341472-40,text; dense_vector; text; real; text; text
1-1341472-51,text; dense_vector; text; real; text; text
1-1341522-38,text; dense_vector; text; real; text; text
1-1341549-10,text; dense_vector; text; text; text; text
1-1341568-14,text; dense_vector; text; real; text; text
1-1341568-48,text; dense_vector; text; real; text; text
1-1341577-10,text; dense_vector; text; real; text; text
1-1341586-26,text; dense_vector; text; real; text; text
1-1341598-22,text; dense_vector; text; real; text; text
1-1341604-26,text; dense_vector; text; real; text; text
1-1341663-10,text; dense_vector; text; real; text; text
1-1341663-14,text; dense_vector; text; real; text; text
