Table ID,Headers
1-10240125-1,Season; Division; League Apps; League Goals; FA Cup Apps; FA Cup Goals; Total Apps; Total Goals
1-10240125-2,Season; Division; League Apps; League Goals; FA Cup Apps; FA Cup Goals; Total Apps; Total Goals
1-10262329-1,Assembly Type; Adhesive Type; Time(Sec); Temp (°C); Pressure
1-10264179-2,Round; Circuit; Date; Pole Position; Fastest Lap; Winning Driver; Winning Team
1-10269427-3,Episode #; Production code; Title; Directed by; Written by; Airdate
1-1028356-3,Outcome; Year; Championship; Surface; Partner; Opponents; Score
1-10284385-1,"Begin Date; End Date; Representative; Date of birth; House term; State served; Party; Age (years, days)"
1-10295819-1,Player; Current singles ranking; Current doubles ranking; First year played; Ties played; Total W–L; Singles W–L; Doubles W–L
1-103084-4,Year; Broadcast date; BBC One total viewing; BBC One Rank; BBC Two total viewing; BBC Two Rank
1-10312547-1,Character; 1954 Broadway; 1955 broadcast; 1960 broadcast; 1979 Broadway; 1990 Broadway; 1991 Broadway; 1998 Broadway; 1999 Broadway
1-10321124-1,↓ Function / Genus →; Shigella; Salmonella; Yersinia; Escherichia
1-10321805-1,Year (Ceremony); Film title used in nomination; Original title; Director; Result
1-10335-1,Camp; Estimated deaths; Operational; Occupied territory; Current country of location; Primary means for mass killings
1-10360656-1,Round; Choice; Overall; Player name; Position; College
1-10360823-1,Round; Choice; Overall; Player name; Position; College
1-10361230-1,Round; Choice; Overall; Player name; Position; College
1-10361453-2,Game; Date; Opponent; Result; Vikings points; Opponents; Record; Attendance
1-10361625-1,Round; Choice; Overall; Player name; Position; College
1-1036189-1,Headstamp ID; Primer Annulus Color; Bullet Tip Color; Other Features; Functional Type
1-1037590-1,Year; Games; Games started; Completions; Attempts; Completion %; Yards; Yards/Attempt; Touchdowns; Interceptions; Rating
1-10392906-2,Week; Date; Kickoff; Opponent; Final score; Team record; Game site; Attendance
1-10399701-2,School Year; Class A; Class AA; Class AAA; Class AAAA; Class AAAAA
1-10402018-1,"Character; Australia & New Zealand (Sydney - first run, Melbourne, Auckland); London; Toronto / Broadway; Brazil; UK Tour; US Tour; Italy (Milan, Rome, Trieste)"
1-10413597-4,No in series; No in season; Title; Setting; Directed by; Written by; Original air date
1-10413597-5,No in series; No in season; Title; Setting; Directed by; Written by; U.S. viewers (million); Original air date
1-10416547-1,Date; Album name; Track; Track title; Lyricist; Music genre/style; Major instrument(s); Lyrics theme/style; Duration
1-10420426-1,Season; Series; Team; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-1046071-1,Year; Division; League; Regular Season; Playoffs; Open Cup
1-1046454-1,Year; Division; League; Regular Season; Playoffs; Open Cup
1-10470082-3,No; #; Title; Director; Writer; US air date; Storyteller; Villains
1-10470082-4,No; #; Title; Director; Writer; US air date; Storyteller; Villains
1-10470082-5,No; #; Title; Director; Writer; US air date; Storyteller; Villains
1-10470082-6,No; #; Title; Director; Writer; US air date; Storyteller; Villains
1-10470082-7,No; #; Title; Director; Writer; US air date; Storyteller; Villains
1-10470082-8,No; #; Title; Director; Writer; US air date; Storyteller; Villains
1-10477224-1,Sepal length; Sepal width; Petal length; Petal width; Species
1-104858-1,Country; Membership (from 2010); Name of member organization; Year current Scouting organization joined WOSM; Year member organization was founded; Admits boys/girls
1-10527215-3,Rd; Name; Pole Position; Fastest Lap; Winning driver; Winning team; Report
1-10528691-4,Model; Introduction; Discontinued; CPU Speed; Print resolution (DPI) Resolution is given in dots per inch (DPI); Print speed (PPM); Standard memory; Maximum memory
1-1053802-1,Region/country; Local title; Network; Winners; Main presenters
1-10556257-1,Season; Team; League Apps; League Goals; Cup Apps; Cup Goals
1-10566855-1,Season; Premier; Runner-up; Score; Margin; Venue; Attendance
1-10568553-1,County; Location; Street Names; Milepost; Roads Intersected; Notes
1-1057262-1,Commodity; 2001-02; 2002-03; 2003-04; 2004-05; 2005-06; 2006-07
1-1057316-1,Serial number; Wheel arrangement ( Whyte notation ); Build date; Operational owner(s); Disposition
1-10577579-2,Institution; Location; Mens Nickname; Womens Nickname; Founded; Type; Enrollment; Joined
1-10577579-3,Institution; Location; Men’s Nickname; Women’s Nickname; Founded; Type; Enrollment; Joined; Left; Current Conference; Classification
1-10581768-2,Institution; Nickname; Location; Founded; Type; Enrollment
1-10592536-8,Team; Outgoing manager; Manner of departure; Date of vacancy; Replaced by; Date of appointment; Position in table
1-10595672-1,Date; Opponent; Home / Away; Score; High points; High rebounds; High assists; Location/Attendance; Record
1-10602294-1,Name; Dates active; Peak classification; Windspeeds; Pressure; Areas affected; Damage (USD); Deaths; Refs
1-10610087-3,No in series; No in season; Title; Directed by; Written by; Original air date
1-10610087-6,No in series; No in season; Title; Directed by; Written by; Original air date
1-10621256-1,Player; Matches; Inns; N/O; Runs; High Score; Average; 100; 50; Catches; Stump
1-106367-2,General election; # of candidates; # of seats won; % of popular vote; Result
1-10646790-2,Week; Date; Opponent; Result; Stadium; Record; Attendance
1-10647401-1,Week; Opponent; Result; Stadium; Record; Attendance
1-10647639-1,Week; Date; Opponent; Result; Game site; Record; Attendance
1-10650711-1,Pick #; NFL Team; Player; Position; College
1-10664957-2,1st players choice; 2nd players choice; Probability 1st player wins; Probability 2nd player wins; Probability of a draw
1-1067134-1,DVD Name; # of Ep; Region 1; Region 2; Region 4
1-1067441-1,"Province; Population (2004 estimate); Area (km²); Density; GDP (2003, PPS in mil. € ); GDP per cap. (2003, in €)"
1-10701133-1,No in series; No in season; Title; Directed by; Written by; Featured character(s); Original air date; U.S. viewers (million)
1-10705060-1,Season; Series; Team Name; Races; Poles; Wins; Points; Position
1-10707142-2,Rnd; Race Name; Circuit; City/Location; Date; Pole position; Winning driver; Winning team; Report
1-10710364-2,Religious group; Population %; Growth (1991–2001); Sex ratio (total); Literacy (%); Work participation (%); Sex ratio (rural); Sex ratio (urban); Sex ratio (child)
1-10715317-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-10716893-3,Year; Network; Host; Pre-race analyst; Lap-by-lap; Color commentator(s); Pit reporters
1-10718192-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-10718525-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-10718631-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-10718984-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-10722506-6,Conference; # of Bids; Record; Win %; Round of 32; Sweet Sixteen; Elite Eight; Final Four; Championship Game
1-10725629-2,Rnd; Race Name; Circuit; City/Location; Date; Pole position; Fastest lap; Winning driver; Winning team; Report
1-10748727-1,Season; Series; Team Name; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-10749143-2,Series #; Season #; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-10749367-3,#; Air Date; Challenge; Winner; Test-taker; Passed?
1-10797463-1,Village (German); Village (Slovenian); Number of people 1991; Percent of Slovenes 1991; Percent of Slovenes 1951
1-10798928-1,Year (Ceremony); Film title used in nomination; Original title; Director; Result
1-10812293-4,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-10812938-3,Pick #; CFL Team; Player; Position; College
1-10812938-4,Pick #; CFL Team; Player; Position; College
1-10812938-5,Pick #; CFL Team; Player; Position; College
1-1081459-1,Number Range; Builder; Introduced; No Built; Region; Withdrawn
1-10815352-1,League; Sport; Country; Season; Games; Average attendance; Total attendance
1-10818465-1,Model; RU; Max processors; Processor frequency; Max memory; Max disk capacity; GA Date
1-10819266-8,Season; Episodes; Time slot (EST); Season premiere; Season finale; TV season; Rank; Viewers (in millions)
1-10842344-1,No in series; No in season; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-10874596-1,Year [e ] (Ceremony); Film title used in nomination; Original title; Director; Result
1-1087659-2,Year; Division; League; Reg. Season; Playoffs; Avg. Attendance
1-10908676-7,No in series; No in season; Title; Directed by; Written by; Original air date
1-10932739-2,Planet; Planet Type; Semimajor Axis ( AU ); Orbital Period; Radial velocity (m/s); Detectable by:
1-10935548-1,No in series; No in season; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-10942714-1,Rank; English title; Chinese title; Average; Peak; Premiere; Finale; HK viewers
1-10953197-2,No in series; No in season; Title; Director; Writer(s); Original air date; Production code
1-10953197-3,No in series; No in season; Title; Director; Writer(s); Original air date; Production code
1-10953197-4,No in series; No in season; Title; Director; Writer(s); Original air date; Production code
1-10953197-6,No in series; No in season; Title; Director; Writer(s); Original air date; Production code
1-10953197-7,No in series; No in season; Title; Director; Writer(s); Original air date; Production code
1-10960039-1,Pick #; CFL Team; Player; Position; College
1-10960039-6,Pick #; CFL Team; Player; Position; College
1-10966926-2,Round; Choice; Player name; Position; Height; Weight; College
1-10975034-4,Pick #; CFL Team; Player; Position; College
1-10975034-5,Pick #; CFL Team; Player; Position; College
1-10979230-5,Romaji title; Japanese title; Release date; Reference; Oricon
1-1099080-1,Condition; Prothrombin time; Partial thromboplastin time; Bleeding time; Platelet count
1-11019212-1,Location; Monday; Tuesday; Wednesday; Thursday; Friday; Saturday; Sunday
1-1104312-5,English name; Original name; Area in km²; Population at 2010 Census; Number of settlements and villages
1-11056278-3,Rnd; Race Name; Pole position; Fastest lap; Winning driver; Winning team; Report
1-11058032-1,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-11066073-1,Pilot car No; Colour; Serial No; Engine No; Registration No
1-11071897-1,Interregnum began; Interregnum ended; Duration; Count Palatine of Saxony; Count Palatine of the Rhine
1-11075747-4,Series #; Episode #; Title; Directed by; Written by; Original air date
1-1108394-24,1973 Democratic initial primary; Manhattan; The Bronx; Brooklyn; Queens; Richmond [Staten Is.]; Total; %
1-1108394-43,1932 (before recount); party; Manhattan; The Bronx; Brooklyn; Queens; Richmond [Staten Is.]; Total; %
1-11094950-1,Team; Location; Joined; Conference; Division; Previous Conference
1-11111116-6,No in season; No in series; Title; Directed by; Written by; Original air date; U.S. viewers (million)
1-11111116-7,No in season; No in series; Title; Directed by; Written by; Original air date; U.S. viewers (million)
1-11111116-8,No in season; No in series; Title; Directed by; Written by; Original air date; U.S. viewers (million)
1-1112176-1,Season; Division; League Apps (Sub); League Goals; FA Cup Apps (Sub); FA Cup Goals; FL Cup Apps (Sub); FL Cup Goals; Other Apps; Other Goals; Total Apps (Sub); Total Goals
1-11129123-1,Episode Air Date; Audition City; Date; First Audition Venue; Callback Date; Callback Venue; Golden Tickets
1-11147852-1,City of license/Market; Station; Channel TV ( DT ); Year of affiliation; Owned since
1-11148572-1,Season; MLS Cup Winner; MLS Cup Runner-Up; MLS Supporters Shield Winner; MLS Supporters Shield Runner-Up
1-11167610-1,Trim; Engine; Turbo; Fuel Delivery; Power; Torque; Transmission; Performance
1-11173827-1,Rank; English title; Chinese title; Average; Peak; Premiere; Finale; HK viewers
1-11178271-1,#; Episode; Air Date; Rating; Share; 18–49 (Rating/Share); Viewers (m); Weekly Rank
1-11190568-7,Team; Outgoing manager; Manner of departure; Date of vacancy; Replaced by; Date of appointment; Position
1-11200856-1,Hand; 1 credit; 2 credits; 3 credits; 4 credits; 5 credits
1-11206787-5,Team; Stadium; Capacity; Highest; Lowest; Average
1-11206916-2,Team; Outgoing manager; Manner of departure; Date of vacancy; Replaced by; Date of appointment
1-11207040-5,Team; Stadium; Capacity; Highest; Lowest; Average
1-11207040-6,Team; Outgoing manager; Manner of departure; Date of vacancy; Replaced by; Date of appointment
1-11210576-3,Character; Position; Actor; First Episode; Final Episode; Duration; Final Episode Count
1-11214212-1,Year; Numer of Jamaicans granted British citizenship; Naturalisation by residence; Naturalisation by marriage; Registration of a minor child; Registration by other means
1-11214772-1,Year; Champion; Score; Runner-Up; Location; Semi-Finalist #1; Semi-Finalist #2
1-11220799-2,Episode Titles; First air date; Reward; Immunity; Exiled; Eliminated; Vote; Finish
1-11222744-2,Year; Title; Format; Studio; Release Date; Copyright Information; Catalog Number
1-11230937-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-11235334-2,#; Episode; Air Date; Timeslot; Viewers; Weekly Rank for Living
1-1123802-1,"Engine; Power, continuous; Critical altitude This is the highest altitude at which the engine can achieve its full continuous power rating. Above this altitude, power falls off with height as with a naturally aspirated engine . See Supercharger#Altitude effects for details.; Power, takeoff; Compression ratio; Supercharger gear ratio; Octane rating; Dry weight"
1-11240028-1,Character; Portrayed by; First appearance; Last appearance; Duration; Episodes
1-11240028-3,Character; Portrayed by; Relationship; First appearance; Last appearance
1-11244302-1,#; Episode; Air Date; Time slot (EST); Rating; Share; 18-49 (Rating/Share); Viewers (m); Rank (Overall)
1-11250-4,Club; Position in 2012–13; First season in top division; Number of seasons in top division; Number of seasons in the Premier League; First season of current spell in top division; Top division titles; Last top division title
1-11251109-3,#; Episode; Air Date; Timeslot (EST); Season; Rating; Share; 18–49; Viewers (m); Rank (#)
1-11251601-2,Country; Carbon dioxide emissions per year (10 6 Tons) (2006); Percentage of global total; Avg. emission per km 2 of its land (tons); Carbon dioxide emissions per year (Tons per person) (2007)
1-11253290-2,#; Episode; Rating; Share; Rating/Share (18-49); Viewers (millions); Rank (timeslot); Rank (night); Rank (week)
1-11254821-2,Finishing position; Points awarded (Platinum); Points awarded (Gold); Points awarded (Silver); Points awarded (Satellite)
1-11256021-1,"Date; Founder; Extroversion Scales; People-task orientation scale; Introverted, Task-Oriented; Extroverted, Task-Oriented; Extroverted, Relationship-Oriented; Introverted, Relationship Oriented; Moderate"
1-11274401-2,No; Episode; Air Date; Timeslot; Rating; Share; 18–49 (Rating/Share); Viewers (m); Rank (#)
1-11274401-3,No; Episode; Air Date; Timeslot; Rating; Share; 18–49 (Rating/Share); Viewers (m); Rank (#)
1-11303072-5,Wicket; Runs; Batting partners; Batting team; Fielding team; Venue; Season
1-11303072-9,Rank; Dismissals; Player; Nationality; Catches; Stumpings; Career Span
1-1130632-1,No in series; Title; Directed by; Written by; Featured character(s); Original air date; U.S. viewers (million)
1-1131183-2,Rank ( WJC ); Rank (ARDA); Metro area; Number of Jews (WJC); Number of Jews (ASARB)
1-11318462-29,School; Location; Enrolment; Founded; Denomination; Day/Boarding; School Colours; Abbreviation; In competition since
1-11318462-5,Crew; Open 1st VIII; Open 2nd VIII; Open 3rd VIII; U16 1st VIII; U16 2nd VIII; U16 3rd VIII; U15 1st IV; U15 2nd IV; U15 3rd IV; U15 4th IV; U15 5th IV; U15 6th IV
1-1132568-3,Rd.; Grand Prix; Pole Position; Fastest Lap; Winning Driver; Constructor; Report
1-1132588-3,Rd.; Grand Prix; Pole Position; Fastest Lap; Winning Driver; Constructor; Report
1-11326124-3,Edition; Zone; Round; Date; Against; Surface; Opponent; Outcome; Result
1-11354111-3,#; Episode; Air Date; Rating; Share; Rating/Share 18–49; Viewers (m); Timeslot Rank; Night Rank; Overall Rank
1-1137142-1,Season; Group A Winner; Group B Winner; Group C Winner; Group D Winner
1-1137695-3,Round; Grand Prix; Pole Position; Fastest Lap; Winning Driver; Winning Constructor; Report
1-1137704-2,Round; Grand Prix; Date; Location; Pole Position; Fastest Lap; Winning Driver; Winning Constructor; Report
1-1137707-2,Round; Grand Prix; Date; Location; Pole Position; Fastest Lap; Winning Driver; Winning Constructor; Report
1-1137718-2,Rd.; Grand Prix; Date; Location; Pole Position; Fastest Lap; Winning Driver; Constructor; Report
1-11381701-3,Source; Date; Method; iOS; Android; BlackBerry; Symbian / Series 40; Bada; Windows; Other
1-11390711-4,English Name; Japanese orthography; Pronouciation; abbreviation; Provider(IAI); Foundation
1-1139087-2,Rd.; Grand Prix; Date; Location; Pole Position; Fastest Lap; Winning Driver; Constructor; Report
1-11391954-3,Country; Total; Marathon (mens); Marathon (womens); Half Marathon (mens); Half Marathon (womens)
1-1139835-1,Year; Winners; Grand Finalist; Scores; Venue; Crowd; Margin; Season Result
1-1139835-3,Year; Winners; Grand Finalist; Scores; Venue; Crowd; Margin; Season Result
1-1139835-9,Season; Premier; Runner Up; Score; Venue; Attendance; Premiership
1-1140067-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140073-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140074-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140076-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140077-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140080-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140083-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140085-2,Rnd; Race; Date; Location; Pole Position; Fastest Lap; Race Winner; Constructor; Report
1-1140088-6,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140090-6,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140103-6,#; Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140105-6,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140111-5,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140113-5,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140116-5,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-1140117-5,Race Name; Circuit; Date; Winning driver; Constructor; Report
1-11404452-1,Series #; Episode title; Writer(s); Director; U.S. viewers (millions); Original air date
1-11411026-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-1143966-1,Season; Games; Won; Lost; Tied; Points; Pct %; Goals for; Goals against; Standing
1-11447995-2,Ward; Bello; Ben-Tahir; Doucet; Furtenbacher; Gauthier; Haydon; Larter; Lawrance; Libweshya; Liscumb
1-11449590-2,Week; Date; Opponent; Result; Kickoff [a ]; Game site; TV; Attendance; Record
1-11452830-2,Week; Date; Opponent; Result; Kickoff [a ]; Game site; TV; Attendance; Record
1-11464746-1,House Name; Composition; Named after; Founded; Colours
1-11465521-2,Week; Date; Opponent; Result; Kickoff [a ]; Game site; TV; Attendance; Record
1-1147701-4,Model name; Power (ps); Torque (Nm@rpm); Displacement (cm³); Engine code; Comment
1-1147701-5,Model name; Power (ps); Torque (Nm@rpm); Displacement (cm³); Engine code; Comment
1-1147705-1,model; max. motive power; max. torque at rpm; engine displacement; engine type; engine configuration & notes 0-100km/h
1-1149495-1,Series; Year; Winner; Runner-up; Third place; Fourth place; Fifth place; Sixth place; Host
1-11545282-11,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-12,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-17,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-18,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-19,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-4,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-5,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-6,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11545282-7,Player; No; Nationality; Position; Years for Jazz; School/Club Team
1-11552751-2,"Yard Name; Location (city, state); 1st Ship Delivery Date; Ship Types Delivered; Total Number of Ways; total vessels built"
1-11562143-1,No in series; No in season; Title; Directed by; Written by; Featured character(s); Original air date; U.S. viewers (million)
1-11562149-1,No in series; No in season; Title; Directed by; Written by; Featured character(s); Original air date; U.S. viewers (million)
1-11570261-2,Year; Championship; 54 holes; Winning score; Margin of victory; Runner(s)-up
1-11577996-1,Year; Location; 1st Place; 2nd Place; 3rd Place; 4th Place; 5th Place
1-1157867-2,Name; Number; Builder; Date built; Wheel arrangement; Driving wheels; Cylinders; Boiler pressure; Notes
1-11585313-1,number; date of debut; name; date of birth; number of caps; number of goals; date of death†
1-11585313-2,number; date of debut; name; date of birth; number of caps; number of goals; date of death†
1-11602313-4,Model number; sSpec number; Frequency; L2 cache; FSB; Mult.; Voltage; TDP; Socket; Release date; Part number(s); Release price ( USD )
1-11603006-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11603267-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11604804-5,Institution; Nickname; Status; Founded; Color; Location
1-11608735-3,Year; Property Taxes; Investment Earnings; Other Local Sources; State & Federal; Total Revenue
1-1161065-27,Team; Hosted; Average; Highest; Lowest; Total; Last Year; Up/Down
1-1161065-28,Venue; Hosted; Average; Highest; Lowest; Total; Last Year; Up/Down
1-11614581-3,"Governorate; Name in Russian; Name in Polish; Seat; Area, in thousands of km 2; Population, in thousands,( 1905 )"
1-11621799-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11621873-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11621915-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622255-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622496-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622562-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622771-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622829-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622840-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622862-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11622924-1,Date; Tournament; Location; Purse( $ ); Winner; Score; 1st Prize( $ )
1-11630008-3,Series no.; Title; Directed by; Written by; Original air date; Production Code
1-11630008-5,Series #; Season #; Title; Directed by; Written by; Original air date; Production code
1-11630008-7,Series #; Season #; Title; Directed by; Written by; Original air date; Production code
1-11636213-7,Edition; Round; Date; Partnering; Against; Surface; Opponents; W–L; Result
1-11642945-1,Total No; Celebrity; Director; Original air date; Viewers
1-11647327-2,Marginal Ordinary Income Tax Rate; Single; Married Filing Jointly or Qualified Widow(er); Married Filing Separately; Head of Household
1-11649123-1,Disaster; Year; Countries Affected; Scale of Disaster; People Assisted; Nature of Help
1-1165048-1,Season; Position; Win/Loss; Coach; Captain; Dudley Tuckey Medal; Leading goalkicker
1-11656578-2,Abbreviation; Voivodeship; Capital; Area km² (1998); Population (1980); No of cities; No of communes
1-11658094-1,Institution; Location; Founded; Type; Enrollment; Joined; Nickname
1-11658094-3,Institution; Location; Founded; Type; Enrollment; Nickname; Joined; Left; Current Conference
1-1166023-1,Number; TMS Number; Builder; Year built; Carriage type
1-11662133-1,Ships name; Entered service; Ended service; Gross Tonnage; Type of Vessel
1-11662133-3,Ships name; Date entered service; Date withdrawn; Tonnage; Type of Ship
1-11664625-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-11665016-2,No in series; No in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-1167698-1,Season; Champion; Runner-up; Third place; Top scorer
1-11677100-15,Player; Position; School; Hometown; MLB Draft
1-11677100-16,Player; Position; School; Hometown; MLB Draft
1-11677100-17,Player; Position; School; Hometown; MLB Draft
1-11677100-18,Player; Position; School; Hometown; MLB Draft
1-11677100-3,Player; Position; School; Hometown; MLB Draft
1-11677100-4,Player; Position; School; Hometown; MLB Draft
1-11677100-5,Player; Position; School; Hometown; MLB Draft
1-11677100-7,Player; Position; School; Hometown; MLB Draft
1-11677100-8,Player; Position; School; Hometown; MLB Draft
1-11677691-10,Player; Position; School; Hometown; College
1-11677691-11,Player; Position; School; Hometown; College
1-11677691-12,Player; Position; School; Hometown; College
1-11677691-2,Player; Position; School; Hometown; College
1-11677691-3,Player; Position; School; Hometown; College
1-11677691-5,Player; Position; School; Hometown; College
1-11677691-6,Player; Position; School; Hometown; College
1-11677691-9,Player; Position; School; Hometown; College
1-11677760-1,Year; Player; School; Hometown; College; NBA Draft
1-11677760-31,Player; Height; School; Hometown; College; NBA Draft
1-11680175-1,Year; Bötzow; Schwante; Vehlefanz; Neu-Vehlefanz; Marwitz; Bärenklau; Eichstädt
